"DateTime","city","country","shape"
2004-12-03,"gilmer","us","changing"
2003-07-16,"gilroy","us","changing"
2013-12-02,"glasgow (uk/scotland)","gb","changing"
2013-12-02,"glasgow (uk/scotland)","gb","changing"
2012-11-19,"glastonbury","us","changing"
2011-10-10,"glenarm","us","changing"
2011-10-10,"glenarm","us","changing"
2013-09-30,"glendale","us","changing"
2000-07-11,"glendale (denver)","us","changing"
2000-02-16,"glenwood landing","us","changing"
2011-08-21,"globe","us","changing"
2006-10-30,"glorieta","us","changing"
2005-01-11,"gloucester","us","changing"
2006-10-30,"gonzales","us","changing"
2009-06-09,"gonzales","us","changing"
2002-10-28,"goodlettsville","us","changing"
2007-11-28,"goodyear","us","changing"
2013-09-30,"goodyear","us","changing"
2006-05-15,"grafton",NA,"changing"
2011-05-02,"grand forks","us","changing"
2012-09-24,"grand forks","us","changing"
2004-01-17,"grand isle","us","changing"
2001-10-12,"grand junction","us","changing"
2006-03-11,"grand ledge","us","changing"
2010-04-13,"granger/mishawaka",NA,"changing"
2010-06-03,"granite bay","us","changing"
2003-08-04,"granite falls","us","changing"
2004-08-24,"granite falls","us","changing"
2013-07-03,"grants pass","us","changing"
2004-03-02,"grapevine","us","changing"
2009-12-12,"grayridge (outside of; 1/2 mile s.)","us","changing"
2005-05-24,"grays (essex) (uk/england)","gb","changing"
2012-08-19,"grayson","us","changing"
2006-02-14,"great bend","us","changing"
2004-10-27,"greenbelt","us","changing"
2006-03-11,"greensburg","us","changing"
2000-12-02,"greenville","us","changing"
2008-03-04,"greenville","us","changing"
2007-02-01,"greenville","us","changing"
2003-03-04,"greenwood","us","changing"
2003-03-21,"greenwood","us","changing"
2011-12-12,"greer","us","changing"
2004-01-17,"gresham","us","changing"
1999-10-02,"gresham","us","changing"
2003-11-08,"gresham/ wood village",NA,"changing"
2009-12-12,"grimsby (uk/england)","gb","changing"
2003-11-26,"guasave sinaloa",NA,"changing"
2012-05-29,"gulf breeze","us","changing"
2007-06-12,"gulf shores","us","changing"
2012-11-19,"gulfport (near)","us","changing"
2003-11-26,"gulfporty",NA,"changing"
