"ID","country","state","city","shape","DurationSeconds","duration (hours/min)","comments","DateTime","MeanValue_1","MeanValue_2","...12","...13"
33229,"gb",NA,"darlington (uk/england)","disk",2,"00:02","A flat grey to white saucer shaped craft moving on a slight angle in an easterly direction. North East UK.",2007-08-07,-3.716667,50.45,NA,NA
33416,"gb",NA,"london (uk/england)","disk",0,"photo caught image","sighting above millenium dome",2006-07-16,-0.093689,51.514125,NA,NA
33567,"gb",NA,"great yarmouth (uk/england)","disk",30,"30 seconds","Disc/Saucer shaped object seen in early morning night sky over Great  Yarmouth&#44 England",2004-10-27,1.75,52.633333,NA,NA
34016,"gb",NA,"leeds (uk/england)","disk",2,"few seconds","A UFO mistaken for an aeroplane&#44 caught on camera.",2001-03-06,-1.583333,53.8,NA,NA
34271,"gb",NA,"warrington (uk/england)","disk",12,"12secs","IT ALL HAPPENED SO FAST AND I WAS SCARED&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33&#33",2002-03-19,-2.6,53.383333,NA,NA
34970,"gb",NA,"hertfordshire (uk/england)","disk",30,"30secs","fiery disc object seen moving across sky.moving away then returning&#44 then moving away at high speed",2001-08-05,-0.25,51.833333,NA,NA
35347,"gb",NA,"dunstable (uk/england)","disk",1200,"20 minuits","saucer shaped craft",2004-03-17,-0.516667,51.883333,NA,NA
35792,"gb",NA,"hertford (uk/england)","disk",180,"2 times 3 minutes","Red glowing pulsing sphere stopping in flight and hovering over Hertford&#44 England",2012-05-13,-0.066667,51.8,NA,NA
38495,"gb",NA,"canterbury (near)&#44 dover&#44 kent (uk/england)","disk",40,"40 seconds","100mw Red pulsar laser chased off  UFO.",2006-03-11,1.083333,51.266667,NA,NA
39618,"gb",NA,"fleetwood (uk/england)","disk",30,"around 30 seconds","Ok &#44 something weird has just happened like five minutes ago...I opened my curtains and looked outside and I saw a kind of black di",2006-05-15,-3,53.916667,NA,NA
40911,"gb",NA,"london (uk/england)","disk",1200,"20 minutes","I know now that these ufo saucers visited and studied this part of north london between april and may 1993 their activities were intenc",2012-06-20,-0.093689,51.514125,NA,NA
41360,"gb",NA,"lincoln (uk/england)","disk",120,"2 minutes","Lincolnshire&#44 England",2009-05-12,-0.533333,53.233333,NA,NA
42344,"gb",NA,"bridgend (uk/wales)","disk",300,"5 mins aprox","daylight sighting of a classic disc type object.",2007-06-12,-3.577222,51.505833,NA,NA
43170,"gb",NA,"harrogate (uk/england)","disk",300,"5 mins","ufo&#39s shock family",2011-05-02,-1.533333,53.983333,NA,NA
